order_id,customer_id,order_date,status,amount,product_id,discount_code,event_date
1001,1,2023-06-15,completed,49.99,101,SUMMER10,2023-06-15
1002,2,2023-07-20,completed,129.50,105,,2023-07-20
1003,3,2023-08-10,completed,25.00,103,WELCOME5,2023-08-10
1004,1,2023-09-05,completed,89.99,108,,2023-09-05
1005,5,2023-10-12,cancelled,199.00,110,FALL20,2023-10-12
1006,4,2023-11-01,completed,34.50,102,,2023-11-01
1007,6,2023-12-15,completed,75.00,106,HOLIDAY15,2023-12-15
1008,7,2024-01-08,completed,149.99,109,,2024-01-08
1009,2,2024-01-25,returned,59.99,104,,2024-01-25
1010,8,2024-02-14,completed,299.00,112,VDAY25,2024-02-14
1011,10,2024-03-01,completed,42.50,101,,2024-03-01
1012,9,2024-03-18,cancelled,89.99,107,,2024-03-18
1013,11,2024-04-05,completed,65.00,103,,2024-04-05
1014,13,2024-04-22,completed,175.50,111,SPRING10,2024-04-22
1015,14,2024-05-10,completed,29.99,102,,2024-05-10
1016,12,2024-05-28,returned,119.00,108,,2024-05-28
1017,15,2024-06-15,completed,89.50,106,,2024-06-15
1018,1,2024-07-01,completed,210.00,112,SUMMER20,2024-07-01
1019,17,2024-07-18,completed,45.99,104,,2024-07-18
1020,18,2024-08-05,completed,78.00,105,,2024-08-05
1021,16,2024-08-22,cancelled,155.00,110,,2024-08-22
1022,19,2024-09-10,completed,62.50,103,FALL10,2024-09-10
1023,20,2024-09-28,completed,99.99,107,,2024-09-28
1024,21,2024-10-15,completed,185.00,111,,2024-10-15
1025,22,2024-10-30,completed,37.50,101,,2024-10-30
1026,23,2024-11-12,completed,142.00,109,BF30,2024-11-12
1027,25,2024-11-28,returned,55.99,102,,2024-11-28
1028,24,2024-12-10,completed,225.00,112,,2024-12-10
1029,26,2024-12-25,completed,79.99,106,XMAS15,2024-12-25
1030,27,2025-01-08,completed,48.50,104,,2025-01-08
1031,28,2025-01-22,completed,165.00,110,,2025-01-22
1032,29,2025-02-05,completed,92.00,108,,2025-02-05
1033,30,2025-02-20,completed,34.99,101,,2025-02-20
1034,31,2025-03-05,completed,115.50,107,SPRING15,2025-03-05
1035,32,2025-03-18,cancelled,205.00,112,,2025-03-18
1036,33,2025-04-01,completed,58.00,103,,2025-04-01
1037,1,2025-04-15,completed,135.99,109,,2025-04-15
1038,34,2025-05-02,completed,72.50,105,,2025-05-02
1039,35,2025-05-18,completed,189.00,111,,2025-05-18
1040,2,2025-06-01,completed,44.99,102,SUMMER10,2025-06-01
1041,4,2025-06-15,completed,310.00,112,,2025-06-15
1042,7,2025-07-01,returned,67.50,106,,2025-07-01
1043,10,2025-07-18,completed,153.00,110,,2025-07-18
1044,14,2025-08-05,completed,88.99,108,,2025-08-05
1045,19,2025-08-20,completed,41.00,101,,2025-08-20
